station_id,region_id,short_name,capacity,lon,lat,external_id,geometry
105,3,SF-N20-1,19,-122.4318042,37.764285,84dfbc77-fe18-4e2c-9f89-9edb8aeaee2c,POINT (-122.4318042 37.764285)
106,3,SF-N20-2,19,-122.4306746,37.7632417,4cfebcba-c209-4f34-bcd3-2e6c4cdaee34,POINT (-122.4306746 37.7632417)
107,3,SF-N21,23,-122.4264968,37.7630152,3ccf483a-ed9f-4327-bf9b-d72b4170ebfc,POINT (-122.4264968 37.7630152)
108,3,SF-N22-1A,8,-122.41995692253113,37.76471008581914,d6ced8f4-977a-441a-86f0-27381b495794,POINT (-122.4199569225311 37.76471008581914)
109,3,SF-N22-2,23,-122.4219039,37.7633158,18fb1a9a-e3ee-4a18-a00d-45c1e0d14d16,POINT (-122.4219039 37.7633158)
110,3,SF-N23,23,-122.4152042,37.7637085,d6ebe802-3db6-4106-b3c7-4791c801a91f,POINT (-122.4152042 37.7637085)
112,3,SF-N24-2,0,-122.4130036,37.7638471,4d2b40cb-88e2-4371-8532-b1e52e797c8c,POINT (-122.4130036 37.7638471)
113,3,SF-N25,19,-122.410345,37.764555,906d869e-f513-4c60-ab76-15e2ddc68632,POINT (-122.410345 37.764555)
114,3,SF-N27,19,-122.4025701,37.7644783,b3c834af-571f-4fee-808b-ae2a7c018b5c,POINT (-122.4025701 37.7644783)
115,3,SF-N28,27,-122.3987734,37.7650259,40aad9cb-3190-4190-b73f-95aa661cec18,POINT (-122.3987734 37.7650259)
